Real,Previsto
2.0,9.48
10.0,10.82
5.0,5.94
8.0,11.201719999999998
116.0,299.3
3.0,3.0216666666666665
209.0,242.2
515.0,576.3
15.0,14.16
15.0,9.2
12.0,14.48
34.0,21.667460000000002
26.0,23.66
83.0,81.68
5.0,99.88
4.0,3.08
127.0,120.08
17.0,89.94
410.0,438.24
3.0,6.9
9.0,11.0802
24.0,10.74
1.0,5.34
8.0,14.4
4.0,48.0
9.0,36.54
8.0,38.16
106.0,80.14
26.0,88.94
16.0,41.66
1.0,10.22
1.0,43.18
10.0,10.06
5.0,9.16
6.0,4.8
3.0,6.04
6.0,8.84
8.0,6.56
46.0,30.38
1.0,17.4
1.0,17.8
23.0,11.36
2.0,1.66
29.0,38.16
35.0,38.21166
81.0,66.14
137.0,123.06
16.0,52.28
19.0,16.76996
18.0,44.86
19.0,48.14
8.0,33.06
30.0,62.86
23.0,43.66
8.0,15.37336
47.0,65.92
17.0,29.84
31.0,30.44
45.0,44.14
80.0,157.56
29.0,46.96
29.0,37.04
8.0,9.92
12.0,24.64
7.0,3.14
3.0,9.16
4.0,5.8
28.0,44.2
4.0,16.0
12.0,10.0
10.0,36.14
33.0,41.66
12.0,36.82
5.0,5.98
7.0,17.28004
12.0,13.929960000000001
28.0,30.86
5.0,14.38
10.0,11.52
14.0,18.04
9.0,3.46
5.0,3.42
7.0,9.1
2.0,8.3
11.0,10.82
2.0,8.56
2.0,3.24
5.0,9.2
13.0,13.16
10.0,16.72
22.0,16.78
5.0,6.48
2.0,2.74
15.0,15.42
6.0,5.12
15.0,32.54
2.0,3.66
21.0,21.52
23.0,44.08
30.0,36.04
19.0,28.46
1.0,11.56
29.0,38.24
4.0,5.84
3.0,4.011666666666667
17.0,11.3
7.0,7.12
2.0,6.44
3.0,9.235
15.0,31.58
18.0,31.16804
2517.0,1486.24
9.0,18.66
12.0,19.66
2.0,2.82
14.0,57.12
16.0,5.94
21.0,18.16
11.0,17.78
1.0,3.02
210.0,468.08
125.0,310.98
7.0,43.48
126.0,287.38
34.0,75.14
57.0,116.14
27.0,47.32
158.0,301.46
190.0,251.28
198.0,246.8
34.0,28.7
6.0,19.66668
2.0,15.22
15.0,176.3
9.0,34.64
42.0,86.76
15.0,10.3
2.0,7.06
21.0,6.84
6.0,19.68
18.0,8.08
12.0,9.56
12.0,10.66
13.0,15.94
8.0,9.16
23.0,12.36
21.0,19.30668
18.0,4.22
29.0,17.94
18.0,12.4
14.0,14.54
20.0,23.2
35.0,16.44
26.0,22.12
7.0,13.12
33.0,9.34
22.0,21.9
6.0,20.12
21.0,11.17878
16.0,20.02
30.0,22.22418
29.0,22.46
14.0,17.893359999999998
10.0,10.24
8.0,22.14
10.0,20.06
11.0,10.7
16.0,14.4
8.0,10.96
17.0,14.94
22.0,18.86
13.0,8.98
24.0,40.36
2.0,6.64
27.0,39.26
5.0,4.38
10.0,13.9
10.0,14.96
159.0,371.52
4.0,5.8
19.0,21.86
11.0,5.94
20.0,60.22
8.0,111.86
19.0,50.48
3.0,2.635
28.0,69.46
3.0,20.04
1.0,9.96
47.0,54.58
6.0,4.04
1.0,6.56
2.0,7.78
7.0,7.727239999999999
5.0,18.06
3.0,2.9
17.0,36.86
20.0,12.04
11.0,11.68
50.0,31.42
43.0,42.02
26.0,16.83062
12.0,16.54
33.0,18.56
23.0,16.22
21.0,12.74
24.0,16.06
23.0,13.06
3.0,8.28
35.0,35.24
31.0,23.55762
21.0,19.69062
26.0,14.36
23.0,14.8
10.0,15.76
10.0,19.86
11.0,14.72
13.0,15.74
7.0,10.24
7.0,9.64
19.0,18.74
8.0,12.7
5.0,13.8
12.0,12.7202
7.0,9.52
3.0,5.7
4.0,7.92
22.0,42.42
16.0,33.16418
11.0,29.24
12.0,19.6
12.0,15.44
10.0,23.34
13.0,8.3
10.0,15.62
1.0,3.32646
3.0,25.0
3.0,5.16
4.0,3.46
5.0,8.9
5.0,2.05678
5.0,7.08
2.0,1.38
2.0,2.52
23.0,17.85866
2.0,4.01678
2.0,3.4
5.0,4.26
1.0,9.56724
1.0,20.12
21.0,67.85384
70.0,87.96
25.0,36.3
40.0,65.09388
3568.0,1933.5
3.0,6.74
2584.0,1510.66
1803.0,3783.34
1960.0,971.94
1171.0,904.86
7.0,20.72
1725.0,771.08
1863.0,1314.2
6.84,13.794479999999998
1287.0,1184.34
33.0,27.62
1.25,5.86
11.0,7.97908
3.0,2.9
4.0,16.16
16.498,58.32
135.0,199.38
1.0,3.62
1.0,2.3266666666666667
4.0,4.46
1.0,13.76
4.0,11.7
12.0,71.1
8.0,11.24
16.0,8.95908
5.0,10.86
2.0,7.82
6.0,7.9
28.0,55.22
37.0,6.46
1.0,4.0
3.0,4.94
21.0,4.64
6.0,4.22
2.0,6.1
2.0,8.12
1.0,2.99
4.0,3.38
1.0,9.26
1.0,54.84
1.0,10.12
1.0,20.1
3.0,28.74
9.0,64.05384
9.0,20.4
2.0,8.9
3.0,5.28
1.0,12.167240000000001
9.0,16.22
3.0,13.58
82.0,195.92
15.0,21.72
278.0,120.12
8.0,14.76
28.0,12.3
18.0,15.6
40.0,23.82
50.0,18.74
16.0,17.68
1.0,13.42
50.0,61.04
2.0,9.92
11.0,6.94
2.0,5.5
11.0,18.5
11.0,39.9
129.0,153.22
38.0,76.89144
9.0,265.88
14.0,42.0
10.0,44.24
23.0,66.66
2.0,1.88
8.0,6.28
14.0,16.08
5.0,56.36
6.0,6.84
9.0,5.1
1.0,1.86
50.0,107.96
509.0,521.6
5.0,6.54
8.0,10.02
8.0,6.36
6.0,7.607239999999999
7.0,9.38
5.0,7.17878
35.0,80.02
42.0,71.77388
69.0,67.98
6.0,6.46
3.0,16.79908
5.0,2.84
1.0,15.82
1.0,3.42
1.0,5.9
4.0,15.62
4.0,5.24
10.0,26.04
18.0,20.28
8.0,6.76
2.0,2.2047142857142856
3.0,2.4
1.0,2.74
4.0,6.26
1.0,13.68
2.0,3.16
4.0,2.0
14.0,3.1
4.0,5.94
3.0,6.92
4.0,5.78
1.0,12.34
2.0,12.42
11.0,11.0
30.0,24.8
1.0,6.98
1.0,26.7
4.0,21.76
1.0,5.52
3.0,7.26
6.0,5.32
5.0,7.54
10.0,7.42
2.0,3.48
1.0,12.56
1.0,6.4
64.0,68.62
25.0,35.53166
34.0,41.64
3.0,8.18
10.0,21.04
18.0,10.98
7.0,9.22
9.0,10.94
7.0,11.72
6.0,21.6
5.0,8.4
4.0,7.02
4.0,5.24
10.0,21.34
18.0,19.62
7.0,27.0
9.0,10.0
10.0,18.88
14.0,10.12
7.0,7.5
15.0,9.48
7.0,5.4
10.0,5.66
23.0,12.86
4.0,1.92
1.0,4.48
9.0,2.66
12.0,26.4
7.0,3.84
2.0,3.88
3.0,4.88
2.0,3.92
8.0,11.86
11.0,16.26
5.0,4.45878
6.0,6.74
11.0,18.02
34.0,23.6
14.0,17.6
22.0,17.64
7.0,15.9
