Data,PRODUTO,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,GUARANA CHP ANTARCTICA PET 2L RIZATTI,9.0,0.0,32.86,33.20489885077114
2024-01-01,GUARANA KOKOTINHA 250ML FORS,109.0,0.0,92.48,54.204947543264225
2024-01-01,GUARANA CHP ANTARCTICA DIET LATA 350ML,10.0,0.0,33.26,27.088629035089365
2024-01-01,GUARDA CHUVA DE CHOC 340G KI KAKAU,50.0,20.80293478085605,103.54,109.69903158856772
2024-01-01,GUARDANAPO AMARELO 25X25 C/20 SILVER PLASTIC,5.0,0.0,7.36,17.66365649221949
2024-01-01,GUARDANAPO AZUL BEBE 25X25 C/20 SILVER PLASTIC,11.0,0.0,12.86,17.26730392472384
2024-01-01,GUARANA CACULINHA PET 200ML ANTACTICA,324.0,400.23592061158985,530.52,335.58089354182164
2024-01-01,GRANULADO CROCANTE CHOCOLATE 1.005KG CACAU FOODS,57.0,0.0,42.16,42.30293207530322
2024-01-01,GRANULADO CROCANTE CHOCOLATE 500G CACAU FOODS,93.0,0.0,68.54,62.24887615204594
2024-01-01,GRANULADO MACIO 500G ESCURO MIX,11.0,0.0,17.24,17.66365649221949
2024-01-01,GRANULADO MACIO 500G MESCLADO MIX,13.0,0.0,20.26,17.66365649221949
2024-01-01,GRANULADO MACIO AZUL 130G CACAU FOODS,9.0,0.0,15.56,19.591315285319446
2024-01-01,GRANULADO MACIO CHOCOLATE 1.005KG CACAU FOODS,164.0,0.0,79.16,65.33892436069668
2024-01-01,GRANULADO MACIO ESCURO 1.01KG MIX,4.0,0.0,10.7,17.26730392472384
2024-01-01,GRANULADO MACIO MESCLADO 1.01KG MIX,3.0,0.0,4.14,17.26730392472384
2024-01-01,GRANULADO MACIO ROSA 130GR CACAU FOODS,31.0,0.0,12.74,19.194962717823795
2024-01-01,GRIN HOLDER MDF MINI BRANCO C/03 HASTES GRINTOY,1.0,0.0,2.86,17.26730392472384
2024-01-01,GRANULADO MACIO SABOR CHOCOLATE 500GR CACAU FOODS,63.0,0.0,166.88,152.42007084506582
2024-01-01,JOGO DE FERRAMENTAS PLASTICO C/8 MAGO,8.0,0.0,6.64,17.26730392472384
2024-01-01,KIT HAPPY HOUR,3.0,0.0,28.94,27.088629035089365
2024-01-01,KIT DECORATIVO SPIDERMAN REGINA,5.0,0.0,3.9,17.26730392472384
2024-01-01,KIT SACO DE CONFEITAR GR CHEF N 1 C/BRINDE MAGO,34.0,0.0,28.71464,25.16097024198941
2024-01-01,LACO DE CETIM AMARELO 10MM PCT COM 50 LACO&CIA,1.0,0.0,3.3896800000000002,17.26730392472384
