"LOJA";"CODIGO";"PRODUTO";"DEPARTAMENTO";"QUANTIDADE";"MES"
"4";"54164";"ACUCAR REFINADO 1KG UNIAO";"CONFEITARIA";"8";"2022-11"
"7";"54164";"ACUCAR REFINADO 1KG UNIAO";"CONFEITARIA";"5";"2022-11"
"5";"54164";"ACUCAR REFINADO 1KG UNIAO";"CONFEITARIA";"1";"2022-11"
"7";"174596";"ACUCAR SACHE UNIDADE UNIAO";"CONFEITARIA";"382";"2022-11"
"1";"174596";"ACUCAR SACHE UNIDADE UNIAO";"CONFEITARIA";"117";"2022-11"
"4";"174596";"ACUCAR SACHE UNIDADE UNIAO";"CONFEITARIA";"3";"2022-11"
"4";"422994";"ACUCAR UNIAO DEMERARA 1KG";"CONFEITARIA";"2";"2022-11"
"5";"422994";"ACUCAR UNIAO DEMERARA 1KG";"CONFEITARIA";"1";"2022-11"
"5";"422987";"ACUCAR UNIAO MASCAVO 1KG";"CONFEITARIA";"1";"2022-11"
"5";"54195";"ACUCAR VANILLE 40G ARCOLOR";"CONFEITARIA";"5";"2022-11"
"4";"54195";"ACUCAR VANILLE 40G ARCOLOR";"CONFEITARIA";"2";"2022-11"
"7";"139335";"ADAPTADOR DOM P/ BICOS GRANDE MAGO";"CONFEITARIA";"1";"2022-11"
"1";"139335";"ADAPTADOR DOM P/ BICOS GRANDE MAGO";"CONFEITARIA";"2";"2022-11"
"4";"139342";"ADAPTADOR IND P/ BICOS RETO PEQ MAGO";"CONFEITARIA";"4";"2022-11"
"4";"603140";"ADAPTADOR P BICO CONFEITAR SIMPLES PLAST KIT C/2 CROMUS";"CONFEITARIA";"1";"2022-11"
"1";"603140";"ADAPTADOR P BICO CONFEITAR SIMPLES PLAST KIT C/2 CROMUS";"CONFEITARIA";"2";"2022-11"
"7";"603140";"ADAPTADOR P BICO CONFEITAR SIMPLES PLAST KIT C/2 CROMUS";"CONFEITARIA";"1";"2022-11"
"1";"472715";"ADEREÇO ESCUDO C/1 PIFFER VINGADORES CAP AMERICA";"FESTA";"1";"2022-11"
"1";"488433";"ADERECO P/BALAO CORTINA G 25X100 SLIM METAL FOS RO GD CROMUS";"FESTA";"2";"2022-11"
"7";"480888";"ADERECO P/BALAO CORTINA P 25X50 SLIM HOLOG AZUL CROMUS";"FESTA";"1";"2022-11"
"4";"330619";"ADESIVO BELA E A FERA C/3 REGINA";"FESTA";"1";"2022-11"
"5";"308250";"ADESIVO BOTECO FESTCOLOR";"FESTA";"1";"2022-11"
"4";"606691";"ADESIVO BRASIL 2022 C/30 FESTCOLOR";"FESTA";"6";"2022-11"
"1";"606691";"ADESIVO BRASIL 2022 C/30 FESTCOLOR";"FESTA";"4";"2022-11"
"4";"500203";"ADESIVO COPO DA FELICIDADE REAL FRANCO";"FESTA";"2";"2022-11"
"4";"448963";"ADESIVO DEC REDONDO CARROS C/3 REGINA";"FESTA";"1";"2022-11"
"5";"474474";"ADESIVO DECOR REDONDO C/03 ARIEL SEREISMO REGINA";"FESTA";"1";"2022-11"
"4";"423335";"ADESIVO DECORATIVO RED REI LEAO C/3 REGINA";"FESTA";"1";"2022-11"
"4";"431187";"ADESIVO DECORATIVO REDONDO AVENGERS 3 C/3";"FESTA";"1";"2022-11"
"5";"592611";"ADESIVO DINO BABY FESTCOLOR";"FESTA";"4";"2022-11"
"4";"592611";"ADESIVO DINO BABY FESTCOLOR";"FESTA";"1";"2022-11"
"4";"393867";"ADESIVO DRAGON BALL C/30 FESTCOLOR";"FESTA";"4";"2022-11"
"5";"589147";"ADESIVO ENCANTO C/30 DML";"FESTA";"1";"2022-11"
"5";"589031";"ADESIVO FESTA FAZENDINHA C/24 REGINA";"FESTA";"1";"2022-11"
"4";"284813";"ADESIVO GALINHA PINTADINHA C/03";"FESTA";"2";"2022-11"
"4";"619509";"ADESIVO GEL SORT 20CM CROMUS";"PRODUTOS DE EPOCAS";"6";"2022-11"
"4";"619516";"ADESIVO GEL SORT 25CM CROMUS";"PRODUTOS DE EPOCAS";"4";"2022-11"
"4";"619523";"ADESIVO GEL SORT 30CM CROMUS";"PRODUTOS DE EPOCAS";"6";"2022-11"
"5";"411318";"ADESIVO HULK C/3 REGINA";"FESTA";"3";"2022-11"
"1";"411318";"ADESIVO HULK C/3 REGINA";"FESTA";"1";"2022-11"
"4";"285926";"ADESIVO JURASSIC WORLD C/30 FESTCOLOR";"FESTA";"2";"2022-11"
"7";"498036";"ADESIVO MEDIO PERSONALIZADO ";"BALCAO DE DECORACAO";"1";"2022-11"
"1";"498036";"ADESIVO MEDIO PERSONALIZADO ";"BALCAO DE DECORACAO";"69";"2022-11"
"5";"295796";"ADESIVO MICKEY CLASSICO REGINA";"FESTA";"1";"2022-11"
"1";"295796";"ADESIVO MICKEY CLASSICO REGINA";"FESTA";"1";"2022-11"
"7";"493031";"ADESIVO MULHER MARAVILHA C/30 FESTCOLOR";"FESTA";"1";"2022-11"
"1";"493031";"ADESIVO MULHER MARAVILHA C/30 FESTCOLOR";"FESTA";"6";"2022-11"
"4";"493031";"ADESIVO MULHER MARAVILHA C/30 FESTCOLOR";"FESTA";"1";"2022-11"
"4";"411233";"ADESIVO MUNDO BITA C/3 REGINA";"FESTA";"1";"2022-11"
"1";"606721";"ADESIVO NACOES BRASIL 2022 C/30 FESTCOLOR";"PRODUTOS DE EPOCAS";"3";"2022-11"
"4";"606721";"ADESIVO NACOES BRASIL 2022 C/30 FESTCOLOR";"PRODUTOS DE EPOCAS";"6";"2022-11"
"1";"576406";"ADESIVO NARUTO 2019 C/30 FESTCOLOR";"FESTA";"2";"2022-11"
"1";"186094";"ADESIVO PARA LEMBRANCA TABLETE OBRIGADO PELA PRESENCA";"FESTA";"1";"2022-11"
"7";"299497";"ADESIVO PATRULHA CANINA C/3 REGINA";"FESTA";"1";"2022-11"
"7";"385473";"ADESIVO PJ MASKS C/3 REGINA";"FESTA";"1";"2022-11"
"5";"385473";"ADESIVO PJ MASKS C/3 REGINA";"FESTA";"1";"2022-11"
"4";"393874";"ADESIVO P/LEMB AUTHENTIC GAMES C/36 FESTCOLOR";"FESTA";"3";"2022-11"
"7";"518987";"ADESIVO P/LEMB GALINHA PINTADINHA C/36 FESTCOLOR";"FESTA";"1";"2022-11"
"7";"498043";"ADESIVO P/LEMBRANCINHA PERSONALIZADO GRANDE";"BALCAO DE DECORACAO";"39";"2022-11"
"4";"498043";"ADESIVO P/LEMBRANCINHA PERSONALIZADO GRANDE";"BALCAO DE DECORACAO";"82";"2022-11"
"5";"498043";"ADESIVO P/LEMBRANCINHA PERSONALIZADO GRANDE";"BALCAO DE DECORACAO";"59";"2022-11"
"1";"498043";"ADESIVO P/LEMBRANCINHA PERSONALIZADO GRANDE";"BALCAO DE DECORACAO";"82";"2022-11"
"7";"498012";"ADESIVO P/LEMBRANCINHA PERSONALIZADO MEDIO";"BALCAO DE DECORACAO";"17";"2022-11"
"5";"498012";"ADESIVO P/LEMBRANCINHA PERSONALIZADO MEDIO";"BALCAO DE DECORACAO";"53";"2022-11"
"4";"498012";"ADESIVO P/LEMBRANCINHA PERSONALIZADO MEDIO";"BALCAO DE DECORACAO";"28";"2022-11"
"7";"498005";"ADESIVO P/LEMBRANCINHA PERSONALIZADO PEQUENO";"BALCAO DE DECORACAO";"30";"2022-11"
"4";"498005";"ADESIVO P/LEMBRANCINHA PERSONALIZADO PEQUENO";"BALCAO DE DECORACAO";"38";"2022-11"
"5";"498005";"ADESIVO P/LEMBRANCINHA PERSONALIZADO PEQUENO";"BALCAO DE DECORACAO";"27";"2022-11"
"1";"295468";"ADESIVO PRINCESINHA SOFIA FESTCOLOR";"FESTA";"2";"2022-11"
"4";"295468";"ADESIVO PRINCESINHA SOFIA FESTCOLOR";"FESTA";"1";"2022-11"
"1";"497992";"ADESIVO P/TAÇA PERSONALIZADO PEQUENO ";"BALCAO DE DECORACAO";"45";"2022-11"
"4";"594165";"ADESIVO QUADRADO TURMA DA MONICA C/30 FESTCOLOR";"FESTA";"1";"2022-11"
"7";"424066";"ADESIVO RED JD ENCANTADO C/30 CROMUS";"FESTA";"1";"2022-11"
"4";"493673";"ADESIVO RED PATRULHA CANINA C/30 REGINA";"FESTA";"1";"2022-11"
"4";"296526";"ADESIVO RED PRINCESAS DEBUT C/3 REGINA";"FESTA";"2";"2022-11"
"1";"281225";"ADESIVO REDONDO AVENGERS 4 C/3 REGINA";"FESTA";"1";"2022-11"
"4";"604901";"ADESIVO REDONDO CHA REVELACAO C/30 JUNCO";"FESTA";"2";"2022-11"
"1";"285902";"ADESIVO REDONDO CINDERELA LUZC/3";"FESTA";"1";"2022-11"
"4";"623520";"ADESIVO REDONDO COPA 2022 10x23 C/30 CROMUS";"PRODUTOS DE EPOCAS";"12";"2022-11"
"5";"488198";"ADESIVO REDONDO FROZEN C/30 REGINA";"FESTA";"3";"2022-11"
"4";"330602";"ADESIVO REDONDO MASHA E O URSO C/30 REGINA";"FESTA";"1";"2022-11"
"5";"330602";"ADESIVO REDONDO MASHA E O URSO C/30 REGINA";"FESTA";"5";"2022-11"
"7";"281249";"ADESIVO REDONDO MINNIE C/3 REGINA";"FESTA";"1";"2022-11"
"7";"604918";"ADESIVO REDONDO MUSIC MOVE C/30 JUNCO";"FESTA";"2";"2022-11"
"5";"604918";"ADESIVO REDONDO MUSIC MOVE C/30 JUNCO";"FESTA";"2";"2022-11"
"4";"604918";"ADESIVO REDONDO MUSIC MOVE C/30 JUNCO";"FESTA";"1";"2022-11"
"7";"604925";"ADESIVO REDONDO MUSIC MOVE MENINA C/30 JUNCO";"FESTA";"1";"2022-11"
"4";"604925";"ADESIVO REDONDO MUSIC MOVE MENINA C/30 JUNCO";"FESTA";"3";"2022-11"
"5";"604925";"ADESIVO REDONDO MUSIC MOVE MENINA C/30 JUNCO";"FESTA";"2";"2022-11"
"5";"174985";"ADESIVO REDONDO PEPPA PIG C/3 REGINA";"FESTA";"2";"2022-11"
"1";"605847";"ADESIVO REDONDO SONIC C/30 REGINA";"FESTA";"6";"2022-11"
"1";"281256";"ADESIVO REDONDO SPIDER C/3 REGINA";"FESTA";"2";"2022-11"
"5";"281256";"ADESIVO REDONDO SPIDER C/3 REGINA";"FESTA";"4";"2022-11"
"4";"580144";"ADESIVO REDONDO TURMA DA MONICA C/30 FESTCOLOR";"FESTA";"1";"2022-11"
"1";"369107";"ADESIVO REDONDO VAI BRASIL CROMUS";"FESTA";"1";"2022-11"
"7";"369107";"ADESIVO REDONDO VAI BRASIL CROMUS";"FESTA";"2";"2022-11"
"4";"369107";"ADESIVO REDONDO VAI BRASIL CROMUS";"FESTA";"5";"2022-11"
"5";"369107";"ADESIVO REDONDO VAI BRASIL CROMUS";"FESTA";"1";"2022-11"
"4";"352871";"ADESIVO UNICORNIO FESTCOLOR";"FESTA";"1";"2022-11"
"1";"352871";"ADESIVO UNICORNIO FESTCOLOR";"FESTA";"1";"2022-11"
"4";"308670";"ADESIVOS CORINTHIANS C/30 FESTCOLOR";"FESTA";"1";"2022-11"
"4";"213325";"ADESIVOS SAO PAULO C/40 FESTCOLOR";"FESTA";"1";"2022-11"
"1";"292351";"ADOCANTE CULINARIO 120G LINEA";"DIET & LIGHT";"1";"2022-11"
"1";"257541";"ADOCANTE CULINARIO 70G LINEA";"DIET & LIGHT";"1";"2022-11"
"4";"345811";"ADOCANTE EM PO 50X60G STEVIA LINEA";"DIET & LIGHT";"3";"2022-11"
